UPC1, Item, Descrption, Cost, Price, Category, SubCategory, SubCategory2, SubCategory3, Vendor, GR, GC, VR, VC, Total Inventory
1223,   ,  ,$0.00 ,19, Apparel ,  ,  ,  ,  ,0,0,0,1,1
1813,   , Black/Red Fringe ,0,45, Apparel ,  ,  ,  ,  ,0,0,1,1,2
3752,   , Necklace ,0,39, Accessory  , Jewelry , Necklace ,  , LA Product  ,0,0,1,0,1
45000,   , Fuzzy Key Chain ,0,18, Accessory  , Key Chain ,  ,  ,  ,0,0,1,0,1
117508,117508,,$1.75 ,,,,,,,,,,,
123210,123210,,$2.32 ,,,,,,,,,,,
126310,126310,,$2.63 ,,,,,,,,,,,
127510,127510,,$2.75 ,,,,,,,,,,,
137512,137512,Earrings,$3.75 ,,,,,,,,,,,
147516,147516,,$4.75 ,,,,,,,,,,,
257518,257518,Necklace,$5.75 ,,,,,,,,,,,
325012,325012,,$2.50 ,,,,,,,,,,,
375020,375020,,$7.50 ,,,,,,,,,,,
420322,      20-322,,$13.20 ,,,,,,,,,,,
450014,450014,,$5.00 ,,,,,,,,,,,
535016,535016,,$3.50 ,,,,,,,,,,,
542516,542516,,$4.25 ,,,,,,,,,,,
560020,560020,,$6.00 ,,,,,,,,,,,
562520,562520,,$6.25 ,,,,,,,,,,,
570018,570018,,$7.00 ,,,,,,,,,,,
577524,577524,,$7.75 ,,,,,,,,,,,
781001,   ,  ,0,48,  ,  ,  ,  ,  ,0,0,1,0,1
793001,   ,  ,0,36,  ,  ,  ,  ,  ,0,0,1,0,1
4108168,108168,,$1.68 ,,,,,,,,,,,
4112316,112316,,$3.16 ,,,,,,,,,,,
4112508,112508,,$1.25 ,,,,,,,,,,,
4116608,116608,,$1.66 ,,,,,,,,,,,
4116828,116828,,$16.80 ,,,,,,,,,,,
4117710,117710,,$1.77 ,,,,,,,,,,,
4118408,118408,,$1.84 ,,,,,,,,,,,
4118410,118410,,$1.84 ,,,,,,,,,,,
4119410,119410,,$1.94 ,,,,,,,,,,,
4120008,120008,,$2.00 ,,,,,,,,,,,
4120010,120010,,$2.00 ,,,,,,,,,,,
4120810,120810,,$2.08 ,,,,,,,,,,,
4121010,121010,,$2.10 ,,,,,,,,,,,
4121410,121410,,$2.14 ,,,,,,,,,,,
4121910,121910,,$2.19 ,,,,,,,,,,,
4122110,122110,,$2.21 ,,,,,,,,,,,
4122510,122510,,$2.25 ,,,,,,,,,,,
4122810,122810,,$2.28 ,,,,,,,,,,,
4123210,123210,,$2.32 ,,,,,,,,,,,
4123910,123910,,$2.39 ,,,,,,,,,,,
4124010,124010,,$2.40 ,,,,,,,,,,,
4124610,124610,,$2.46 ,,,,,,,,,,,
4124710,124710,,$2.47 ,,,,,,,,,,,
4125010,125010,,$2.50 ,,,,,,,,,,,
4125410,125410,,$2.54 ,,,,,,,,,,,
4126310,126310,,$2.63 ,,,,,,,,,,,
4127510,127510,,$2.75 ,,,,,,,,,,,
4128110,128110,,$2.81 ,,,,,,,,,,,
4130010,130010,,$3.00 ,,,,,,,,,,,
4131112,131112,,$3.11 ,,,,,,,,,,,
4131312,131312,,$3.13 ,,,,,,,,,,,
4131510,131510,,$3.15 ,,,,,,,,,,,
4132112,132112,,$3.21 ,,,,,,,,,,,
4132212,132212,,$3.22 ,,,,,,,,,,,
4132510,132510,,$3.25 ,,,,,,,,,,,
4132512,132512,,$3.25 ,,,,,,,,,,,
4132712,132712,,$3.27 ,,,,,,,,,,,
4132812,132812,,$3.28 ,,,,,,,,,,,
4133512,133512,,$3.35 ,,,,,,,,,,,
4134412,134412,,$3.44 ,,,,,,,,,,,
4134510,134510,,$3.45 ,,,,,,,,,,,
4134512,134512,,$3.45 ,,,,,,,,,,,
4134912,134912,,$3.49 ,,,,,,,,,,,
4135612,135612,,$3.56 ,,,,,,,,,,,
4135812,135812,,$3.58 ,,,,,,,,,,,
4136412,136412,,$3.64 ,,,,,,,,,,,
4137514,137514,,$3.75 ,,,,,,,,,,,
4138412,138412,,$3.84 ,,,,,,,,,,,
4138814,138814,,$3.88 ,,,,,,,,,,,
4142514,142514,,$4.25 ,,,,,,,,,,,
4143012,143012,,$4.30 ,,,,,,,,,,,
4143114,143114,,$4.31 ,,,,,,,,,,,
4147514,147514,,$4.75 ,,,,,,,,,,,
4147516,147516,,$4.75 ,,,,,,,,,,,
4150014,150014,,$5.00 ,,,,,,,,,,,
4155016,155016,,$5.50 ,,,,,,,,,,,
4200238,      20-238,,$22.80 ,,,,,,,,,,,
4202280,      20-228,,$16.80 ,,,,,,,,,,,
4202420,      20-242,,$25.20 ,,,,,,,,,,,
4237516,237516,,$3.75 ,,,,,,,,,,,
4245016,245016,,$4.50 ,,,,,,,,,,,
4257518,257518,Necklace,$5.75 ,,,,,,,,,,,
4267520,267520,,$6.75 ,,,,,,,,,,,
4270020,270020,,$7.00 ,,,,,,,,,,,
4315010,315010,,$1.50 ,,,,,,,,,,,
4320012,320012,,$2.00 ,,,,,,,,,,,
4327514,327514,,$2.75 ,,,,,,,,,,,
4327515,327515,,$2.75 ,,,,,,,,,,,
4332512,332512,,$3.25 ,,,,,,,,,,,
4335015,335015,,$3.50 ,,,,,,,,,,,
4337514,337514,,$3.75 ,,,,,,,,,,,
4337515,337515,,$3.75 ,,,,,,,,,,,
4337516,337516,,$3.75 ,,,,,,,,,,,
4340015,340015,,$4.00 ,,,,,,,,,,,
4340016,340016,Bracelet,$4.00 ,,,,,,,,,,,
4343516,343516,,$4.35 ,,,,,,,,,,,
4345016,345016,,$4.50 ,,,,,,,,,,,
4347516,347516,,$4.75 ,,,,,,,,,,,
4350015,350015,,$5.00 ,,,,,,,,,,,
4355018,355018,,$5.50 ,,,,,,,,,,,
4365020,365020,,$6.50 ,,,,,,,,,,,
4367520,367520,,$6.75 ,,,,,,,,,,,
4367522,367522,,$6.75 ,,,,,,,,,,,
4370020,370020,,$7.00 ,,,,,,,,,,,
4370022,370022,,$7.00 ,,,,,,,,,,,
4372520,372520,,$7.25 ,,,,,,,,,,,
4375020,375020,,$7.50 ,,,,,,,,,,,
4380022,380022,,$8.00 ,,,,,,,,,,,
4415008,415008,,$1.50 ,,,,,,,,,,,
4418508,418508,,$1.85 ,,,,,,,,,,,
4420010,420010,,$2.00 ,,,,,,,,,,,
4422510,422510,,$2.25 ,,,,,,,,,,,
4424010,424010,,$2.40 ,,,,,,,,,,,
4430010,430010,,$3.00 ,,,,,,,,,,,
4440012,440012,,$4.00 ,,,,,,,,,,,
4442514,442514,,$4.25 ,,,,,,,,,,,
4511030,5110030,,$11.00 ,,,,,,,,,,,
4530016,530016,,$3.00 ,,,,,,,,,,,
4532516,532516,,$3.25 ,,,,,,,,,,,
4535016,535016,,$3.50 ,,,,,,,,,,,
4535716,535716,,$3.57 ,,,,,,,,,,,
4537516,537516,,$3.75 ,,,,,,,,,,,
4537518,537518,,$3.75 ,,,,,,,,,,,
4540016,540016,,$4.00 ,,,,,,,,,,,
4541418,541418,,$4.14 ,,,,,,,,,,,
4542918,542918,,$4.29 ,,,,,,,,,,,
4545016,545016,,$4.50 ,,,,,,,,,,,
4547518,547518,,$4.75 ,,,,,,,,,,,
4550020,550020,,$5.00 ,,,,,,,,,,,
4551818,551818,,$5.18 ,,,,,,,,,,,
4555018,555018,,$5.50 ,,,,,,,,,,,
4555718,555718,,$5.57 ,,,,,,,,,,,
4557518,557518,,$5.75 ,,,,,,,,,,,
4557520,557520,,$5.75 ,,,,,,,,,,,
4557820,557820,,$5.78 ,,,,,,,,,,,
4562520,562520,,$6.25 ,,,,,,,,,,,
4563220,563220,,$6.32 ,,,,,,,,,,,
4565020,565020,,$6.50 ,,,,,,,,,,,
4568322,568322,,$6.83 ,,,,,,,,,,,
4572522,572522,,$7.25 ,,,,,,,,,,,
4575022,575022,,$7.50 ,,,,,,,,,,,
4580024,580024,,$8.00 ,,,,,,,,,,,
4583526,583526,,$8.35 ,,,,,,,,,,,
4585024,585024,,$8.50 ,,,,,,,,,,,
4587526,587526,,$8.75 ,,,,,,,,,,,
4590026,590026,,$9.00 ,,,,,,,,,,,
4590028,590028,,$9.00 ,,,,,,,,,,,
4592528,592528,,$9.25 ,,,,,,,,,,,
4760010,11,,-,,,,,,,,,,,
7810001,   ,  ,0,48,  ,  ,  ,  ,  ,0,0,1,0,1
7811001,   ,  ,0,48,  ,  ,  ,  ,  ,0,0,2,0,2
7827001,   ,  ,0,45,  ,  ,  ,  ,  ,0,0,3,0,3
7831001,   ,  ,0,36,  ,  ,  ,  ,  ,0,0,1,0,1
7833001,   ,  ,0,31,  ,  ,  ,  ,  ,0,0,1,0,1
7835001,   ,  ,0,45,  ,  ,  ,  ,  ,0,0,1,0,1
7838001,   ,  ,0,45,  ,  ,  ,  ,  ,0,0,1,0,1
41168028,116828,,$16.80 ,,,,,,,,,,,
41475160,147516,,$4.75 ,,,,,,,,,,,
127890244,   , Freaker ,0,12, Giftware  ,  ,  ,  , Freaker USA  ,0,0,1,0,1
400122110,122110,,$2.21 ,,,,,,,,,,,
400131312,131312,,$3.13 ,,,,,,,,,,,
400138814,138814,,$3.88 ,,,,,,,,,,,
400155016,155016,,$5.50 ,,,,,,,,,,,
787270016,   ,  ,0,45,  ,  ,  ,  ,  ,0,0,1,0,1
1039550399,   , Freaker ,0,12, Giftware  ,  ,  ,  , Freaker USA  ,0,0,1,0,1
1039550403,   , Freaker ,0,12, Giftware  ,  ,  ,  , Freaker USA  ,0,0,1,0,1
1039550430,   , Freaker ,0,12, Giftware  ,  ,  ,  , Freaker USA  ,0,0,1,0,1
1039550440,   , Freaker ,0,12, Giftware  ,  ,  ,  , Freaker USA  ,0,0,1,0,1
1039550459,   , Freaker ,0,12, Giftware  ,  ,  ,  , Freaker USA  ,0,0,2,0,2
1278902074,   , Freaker ,0,12, Giftware  ,  ,  ,  , Freaker USA  ,0,0,1,0,1
1278902102,   , Freaker ,0,12, Giftware  ,  ,  ,  , Freaker USA  ,0,0,1,0,1
